Loan: 	Tk 500.0	2024-05-30 11:23:37	2500.0	Loan taken
Loan: 	Tk 500.0	2024-05-30 11:29:02	2500.0	Loan taken
Loan: 	Tk 500.0	2024-05-30 11:40:05	2500.0	Loan taken
Loan: 	Tk 500.0	2024-05-30 11:48:56	2500.0	Loan taken
Loan: 	Tk 200.0	2024-05-30 11:49:15	2700.0	Loan taken
Loan: 	Tk 500.0	2024-05-30 12:19:36	3200.0	Loan taken
Loan: 	Tk 200.0	2024-05-30 12:25:46	3400.0	Loan taken
Loan: 	Tk 200.0	2024-05-30 12:25:56	3000.0	Loan repaid
Loan: 	Tk 500.0	2024-05-30 12:27:32	3500.0	Loan taken
Loan: 	Tk 500.0	2024-05-30 12:27:36	2500.0	Loan repaid
Loan: 	Tk 200.0	2024-05-30 12:27:41	3200.0	Loan taken
Loan: 	Tk 150.0	2024-05-30 12:27:47	2850.0	Loan repaid
Loan: 	Tk 50.0	2024-05-30 12:27:59	2950.0	Loan repaid
